"year","state","month","number","date"
2006,"Rio","Enero",46,2006-01-01
2007,"Rio","Enero",37,2007-01-01
2008,"Rio","Enero",42,2008-01-01
2009,"Rio","Enero",65,2009-01-01
2010,"Rio","Enero",22,2010-01-01
2011,"Rio","Enero",33,2011-01-01
2012,"Rio","Enero",61,2012-01-01
2013,"Rio","Enero",22,2013-01-01
2014,"Rio","Enero",53,2014-01-01
2015,"Rio","Enero",51,2015-01-01
2016,"Rio","Enero",68,2016-01-01
2017,"Rio","Enero",28,2017-01-01
1998,"Rio","Febrero",0,1998-01-01
1999,"Rio","Febrero",35,1999-01-01
2000,"Rio","Febrero",43,2000-01-01
2001,"Rio","Febrero",32,2001-01-01
2002,"Rio","Febrero",38,2002-01-01
2003,"Rio","Febrero",13,2003-01-01
2004,"Rio","Febrero",52,2004-01-01
2005,"Rio","Febrero",36,2005-01-01
2006,"Rio","Febrero",34,2006-01-01
2007,"Rio","Febrero",24,2007-01-01
2008,"Rio","Febrero",30,2008-01-01
2009,"Rio","Febrero",15,2009-01-01
2010,"Rio","Febrero",23,2010-01-01
2011,"Rio","Febrero",26,2011-01-01
2012,"Rio","Febrero",39,2012-01-01
2013,"Rio","Febrero",43,2013-01-01
2014,"Rio","Febrero",37,2014-01-01
2015,"Rio","Febrero",41,2015-01-01
2016,"Rio","Febrero",55,2016-01-01
2017,"Rio","Febrero",31,2017-01-01
1998,"Rio","Marzo",0,1998-01-01
1999,"Rio","Marzo",38,1999-01-01
2000,"Rio","Marzo",51,2000-01-01
2001,"Rio","Marzo",11,2001-01-01
2002,"Rio","Marzo",26,2002-01-01
2003,"Rio","Marzo",27,2003-01-01
2004,"Rio","Marzo",149,2004-01-01
2005,"Rio","Marzo",153,2005-01-01
2006,"Rio","Marzo",76,2006-01-01
2007,"Rio","Marzo",8,2007-01-01
2008,"Rio","Marzo",38,2008-01-01
2009,"Rio","Marzo",41,2009-01-01
2010,"Rio","Marzo",21,2010-01-01
2011,"Rio","Marzo",31,2011-01-01
2012,"Rio","Marzo",50,2012-01-01
2013,"Rio","Marzo",44,2013-01-01
2014,"Rio","Marzo",58,2014-01-01
2015,"Rio","Marzo",108,2015-01-01
2016,"Rio","Marzo",30,2016-01-01
2017,"Rio","Marzo",34,2017-01-01
1998,"Rio","Abril",0,1998-01-01
1999,"Rio","Abril",12,1999-01-01
2000,"Rio","Abril",1,2000-01-01
2001,"Rio","Abril",3,2001-01-01
2002,"Rio","Abril",6,2002-01-01
2003,"Rio","Abril",30,2003-01-01
2004,"Rio","Abril",98,2004-01-01
2005,"Rio","Abril",14,2005-01-01
2006,"Rio","Abril",59,2006-01-01
2007,"Rio","Abril",4,2007-01-01
2008,"Rio","Abril",110,2008-01-01
2009,"Rio","Abril",145,2009-01-01
2010,"Rio","Abril",72,2010-01-01
2011,"Rio","Abril",41,2011-01-01
2012,"Rio","Abril",41,2012-01-01
2013,"Rio","Abril",47,2013-01-01
2014,"Rio","Abril",60,2014-01-01
2015,"Rio","Abril",175,2015-01-01
2016,"Rio","Abril",32,2016-01-01
2017,"Rio","Abril",51,2017-01-01
1998,"Rio","Mayo",0,1998-01-01
1999,"Rio","Mayo",13,1999-01-01
2000,"Rio","Mayo",4,2000-01-01
2001,"Rio","Mayo",4,2001-01-01
2002,"Rio","Mayo",7,2002-01-01
2003,"Rio","Mayo",18,2003-01-01
2004,"Rio","Mayo",4,2004-01-01
2005,"Rio","Mayo",24,2005-01-01
2006,"Rio","Mayo",24,2006-01-01
2007,"Rio","Mayo",3,2007-01-01
2008,"Rio","Mayo",20,2008-01-01
2009,"Rio","Mayo",177,2009-01-01
2010,"Rio","Mayo",9,2010-01-01
2011,"Rio","Mayo",20,2011-01-01
2012,"Rio","Mayo",112,2012-01-01
2013,"Rio","Mayo",14,2013-01-01
2014,"Rio","Mayo",63,2014-01-01
2015,"Rio","Mayo",169,2015-01-01
2016,"Rio","Mayo",37,2016-01-01
2017,"Rio","Mayo",43,2017-01-01
1998,"Rio","Junio",0,1998-01-01
1999,"Rio","Junio",9,1999-01-01
2000,"Rio","Junio",0,2000-01-01
2001,"Rio","Junio",1,2001-01-01
2002,"Rio","Junio",4,2002-01-01
2003,"Rio","Junio",14,2003-01-01
2004,"Rio","Junio",52,2004-01-01
2005,"Rio","Junio",50,2005-01-01
2006,"Rio","Junio",7,2006-01-01
2007,"Rio","Junio",10,2007-01-01
2008,"Rio","Junio",16,2008-01-01
2009,"Rio","Junio",30,2009-01-01
2010,"Rio","Junio",4,2010-01-01
2011,"Rio","Junio",12,2011-01-01
2012,"Rio","Junio",86,2012-01-01
2013,"Rio","Junio",10,2013-01-01
2014,"Rio","Junio",62,2014-01-01
2015,"Rio","Junio",68,2015-01-01
2016,"Rio","Junio",261,2016-01-01
2017,"Rio","Junio",103,2017-01-01
1998,"Rio","Julio",0,1998-01-01
1999,"Rio","Julio",10,1999-01-01
2000,"Rio","Julio",6,2000-01-01
2001,"Rio","Julio",6,2001-01-01
2002,"Rio","Julio",93,2002-01-01
2003,"Rio","Julio",55,2003-01-01
2004,"Rio","Julio",156,2004-01-01
2005,"Rio","Julio",47,2005-01-01
2006,"Rio","Julio",45,2006-01-01
2007,"Rio","Julio",7,2007-01-01
2008,"Rio","Julio",25,2008-01-01
2009,"Rio","Julio",47,2009-01-01
2010,"Rio","Julio",34,2010-01-01
2011,"Rio","Julio",45,2011-01-01
2012,"Rio","Julio",134,2012-01-01
2013,"Rio","Julio",42,2013-01-01
2014,"Rio","Julio",209,2014-01-01
2015,"Rio","Julio",60,2015-01-01
2016,"Rio","Julio",865,2016-01-01
2017,"Rio","Julio",885,2017-01-01
1998,"Rio","Agosto",9,1998-01-01
1999,"Rio","Agosto",24,1999-01-01
2000,"Rio","Agosto",18,2000-01-01
2001,"Rio","Agosto",36,2001-01-01
2002,"Rio","Agosto",824,2002-01-01
2003,"Rio","Agosto",1.419,2003-01-01
2004,"Rio","Agosto",403,2004-01-01
2005,"Rio","Agosto",120,2005-01-01
2006,"Rio","Agosto",642,2006-01-01
2007,"Rio","Agosto",258,2007-01-01
2008,"Rio","Agosto",56,2008-01-01
2009,"Rio","Agosto",1.057,2009-01-01
2010,"Rio","Agosto",267,2010-01-01
2011,"Rio","Agosto",116,2011-01-01
2012,"Rio","Agosto",410,2012-01-01
2013,"Rio","Agosto",156,2013-01-01
2014,"Rio","Agosto",1.168,2014-01-01
2015,"Rio","Agosto",414,2015-01-01
2016,"Rio","Agosto",1.111,2016-01-01
2017,"Rio","Agosto",819,2017-01-01
1998,"Rio","Septiembre",60,1998-01-01
1999,"Rio","Septiembre",19,1999-01-01
2000,"Rio","Septiembre",27,2000-01-01
2001,"Rio","Septiembre",2,2001-01-01
2002,"Rio","Septiembre",226,2002-01-01
2003,"Rio","Septiembre",828,2003-01-01
2004,"Rio","Septiembre",431,2004-01-01
2005,"Rio","Septiembre",189,2005-01-01
2006,"Rio","Septiembre",444,2006-01-01
2007,"Rio","Septiembre",573,2007-01-01
2008,"Rio","Septiembre",97,2008-01-01
2009,"Rio","Septiembre",39,2009-01-01
2010,"Rio","Septiembre",250,2010-01-01
2011,"Rio","Septiembre",449,2011-01-01
2012,"Rio","Septiembre",113,2012-01-01
2013,"Rio","Septiembre",290,2013-01-01
2014,"Rio","Septiembre",224,2014-01-01
2015,"Rio","Septiembre",222,2015-01-01
2016,"Rio","Septiembre",628,2016-01-01
2017,"Rio","Septiembre",343,2017-01-01
1998,"Rio","Octubre",169,1998-01-01
1999,"Rio","Octubre",56,1999-01-01
2000,"Rio","Octubre",10,2000-01-01
2001,"Rio","Octubre",13,2001-01-01
2002,"Rio","Octubre",10,2002-01-01
2003,"Rio","Octubre",360,2003-01-01
2004,"Rio","Octubre",680,2004-01-01
2005,"Rio","Octubre",83,2005-01-01
2006,"Rio","Octubre",160,2006-01-01
2007,"Rio","Octubre",21,2007-01-01
2008,"Rio","Octubre",135,2008-01-01
2009,"Rio","Octubre",148,2009-01-01
2010,"Rio","Octubre",95,2010-01-01
2011,"Rio","Octubre",74,2011-01-01
2012,"Rio","Octubre",91,2012-01-01
2013,"Rio","Octubre",104,2013-01-01
2014,"Rio","Octubre",110,2014-01-01
2015,"Rio","Octubre",70,2015-01-01
2016,"Rio","Octubre",93,2016-01-01
2017,"Rio","Octubre",101,2017-01-01
1998,"Rio","Noviembre",28,1998-01-01
1999,"Rio","Noviembre",103,1999-01-01
2000,"Rio","Noviembre",18,2000-01-01
2001,"Rio","Noviembre",49,2001-01-01
2002,"Rio","Noviembre",117,2002-01-01
2003,"Rio","Noviembre",121,2003-01-01
2004,"Rio","Noviembre",161,2004-01-01
2005,"Rio","Noviembre",227,2005-01-01
2006,"Rio","Noviembre",27,2006-01-01
2007,"Rio","Noviembre",13,2007-01-01
2008,"Rio","Noviembre",14,2008-01-01
2009,"Rio","Noviembre",4,2009-01-01
2010,"Rio","Noviembre",90,2010-01-01
2011,"Rio","Noviembre",117,2011-01-01
2012,"Rio","Noviembre",74,2012-01-01
2013,"Rio","Noviembre",110,2013-01-01
2014,"Rio","Noviembre",68,2014-01-01
2015,"Rio","Noviembre",30,2015-01-01
2016,"Rio","Noviembre",105,2016-01-01
2017,"Rio","Noviembre",137,2017-01-01
1998,"Rio","Diciembre",605,1998-01-01
1999,"Rio","Diciembre",1.11,1999-01-01
2000,"Rio","Diciembre",80,2000-01-01
2001,"Rio","Diciembre",80,2001-01-01
2002,"Rio","Diciembre",45,2002-01-01
2003,"Rio","Diciembre",98,2003-01-01
2004,"Rio","Diciembre",99,2004-01-01
2005,"Rio","Diciembre",35,2005-01-01
2006,"Rio","Diciembre",15,2006-01-01
2007,"Rio","Diciembre",25,2007-01-01
2008,"Rio","Diciembre",32,2008-01-01
2009,"Rio","Diciembre",15,2009-01-01
2010,"Rio","Diciembre",103,2010-01-01
2011,"Rio","Diciembre",69,2011-01-01
2012,"Rio","Diciembre",38,2012-01-01
2013,"Rio","Diciembre",62,2013-01-01
2014,"Rio","Diciembre",31,2014-01-01
2015,"Rio","Diciembre",42,2015-01-01
2016,"Rio","Diciembre",79,2016-01-01
1998,"Rondonia","Enero",0,1998-01-01
1999,"Rondonia","Enero",1,1999-01-01
2000,"Rondonia","Enero",0,2000-01-01
2001,"Rondonia","Enero",0,2001-01-01
2002,"Rondonia","Enero",6,2002-01-01
2003,"Rondonia","Enero",62,2003-01-01
2004,"Rondonia","Enero",30,2004-01-01
2005,"Rondonia","Enero",99,2005-01-01
2006,"Rondonia","Enero",16,2006-01-01
2007,"Rondonia","Enero",33,2007-01-01
2008,"Rondonia","Enero",4,2008-01-01
2009,"Rondonia","Enero",17,2009-01-01
2010,"Rondonia","Enero",18,2010-01-01
2011,"Rondonia","Enero",1,2011-01-01
2012,"Rondonia","Enero",2,2012-01-01
2013,"Rondonia","Enero",7,2013-01-01
2014,"Rondonia","Enero",12,2014-01-01
2015,"Rondonia","Enero",30,2015-01-01
2016,"Rondonia","Enero",93,2016-01-01
2017,"Rondonia","Enero",44,2017-01-01
1998,"Rondonia","Febrero",0,1998-01-01
1999,"Rondonia","Febrero",1,1999-01-01
2000,"Rondonia","Febrero",6,2000-01-01
2001,"Rondonia","Febrero",2,2001-01-01
2002,"Rondonia","Febrero",8,2002-01-01
2003,"Rondonia","Febrero",10,2003-01-01
2004,"Rondonia","Febrero",12,2004-01-01
2005,"Rondonia","Febrero",42,2005-01-01
2006,"Rondonia","Febrero",17,2006-01-01
2007,"Rondonia","Febrero",8,2007-01-01
2008,"Rondonia","Febrero",7,2008-01-01
2009,"Rondonia","Febrero",1,2009-01-01
2010,"Rondonia","Febrero",9,2010-01-01
2011,"Rondonia","Febrero",2,2011-01-01
2012,"Rondonia","Febrero",9,2012-01-01
2013,"Rondonia","Febrero",8,2013-01-01
2014,"Rondonia","Febrero",5,2014-01-01
2015,"Rondonia","Febrero",22,2015-01-01
2016,"Rondonia","Febrero",88,2016-01-01
2017,"Rondonia","Febrero",10,2017-01-01
1998,"Rondonia","Marzo",0,1998-01-01
1999,"Rondonia","Marzo",8,1999-01-01
2000,"Rondonia","Marzo",9,2000-01-01
2001,"Rondonia","Marzo",0,2001-01-01
2002,"Rondonia","Marzo",1,2002-01-01
2003,"Rondonia","Marzo",13,2003-01-01
2004,"Rondonia","Marzo",20,2004-01-01
2005,"Rondonia","Marzo",17,2005-01-01
2006,"Rondonia","Marzo",15,2006-01-01
2007,"Rondonia","Marzo",20,2007-01-01
2008,"Rondonia","Marzo",2,2008-01-01
2009,"Rondonia","Marzo",12,2009-01-01
2010,"Rondonia","Marzo",11,2010-01-01
2011,"Rondonia","Marzo",6,2011-01-01
2012,"Rondonia","Marzo",6,2012-01-01
2013,"Rondonia","Marzo",23,2013-01-01
2014,"Rondonia","Marzo",13,2014-01-01
2015,"Rondonia","Marzo",15,2015-01-01
2016,"Rondonia","Marzo",25,2016-01-01
2017,"Rondonia","Marzo",21,2017-01-01
1998,"Rondonia","Abril",0,1998-01-01
1999,"Rondonia","Abril",3,1999-01-01
2000,"Rondonia","Abril",0,2000-01-01
2001,"Rondonia","Abril",0,2001-01-01
2002,"Rondonia","Abril",3,2002-01-01
2003,"Rondonia","Abril",10,2003-01-01
2004,"Rondonia","Abril",14,2004-01-01
2005,"Rondonia","Abril",7,2005-01-01
2006,"Rondonia","Abril",0,2006-01-01
2007,"Rondonia","Abril",0,2007-01-01
2008,"Rondonia","Abril",8,2008-01-01
2009,"Rondonia","Abril",3,2009-01-01
2010,"Rondonia","Abril",19,2010-01-01
2011,"Rondonia","Abril",8,2011-01-01
2012,"Rondonia","Abril",12,2012-01-01
2013,"Rondonia","Abril",9,2013-01-01
2014,"Rondonia","Abril",15,2014-01-01
2015,"Rondonia","Abril",15,2015-01-01
2016,"Rondonia","Abril",59,2016-01-01
2017,"Rondonia","Abril",19,2017-01-01
1998,"Rondonia","Mayo",0,1998-01-01
1999,"Rondonia","Mayo",3,1999-01-01
2000,"Rondonia","Mayo",13,2000-01-01
2001,"Rondonia","Mayo",5,2001-01-01
2002,"Rondonia","Mayo",10,2002-01-01
2003,"Rondonia","Mayo",21,2003-01-01
2004,"Rondonia","Mayo",9,2004-01-01
2005,"Rondonia","Mayo",38,2005-01-01
2006,"Rondonia","Mayo",7,2006-01-01
2007,"Rondonia","Mayo",4,2007-01-01
2008,"Rondonia","Mayo",1,2008-01-01
2009,"Rondonia","Mayo",6,2009-01-01
2010,"Rondonia","Mayo",41,2010-01-01
2011,"Rondonia","Mayo",54,2011-01-01
2012,"Rondonia","Mayo",22,2012-01-01
2013,"Rondonia","Mayo",9,2013-01-01
2014,"Rondonia","Mayo",28,2014-01-01
2015,"Rondonia","Mayo",13,2015-01-01
2016,"Rondonia","Mayo",44,2016-01-01
2017,"Rondonia","Mayo",31,2017-01-01
1998,"Rondonia","Junio",26,1998-01-01
1999,"Rondonia","Junio",10,1999-01-01
2000,"Rondonia","Junio",54,2000-01-01
2001,"Rondonia","Junio",31,2001-01-01
2002,"Rondonia","Junio",141,2002-01-01
2003,"Rondonia","Junio",74,2003-01-01
2004,"Rondonia","Junio",151,2004-01-01
2005,"Rondonia","Junio",153,2005-01-01
2006,"Rondonia","Junio",40,2006-01-01
2007,"Rondonia","Junio",71,2007-01-01
2008,"Rondonia","Junio",11,2008-01-01
2009,"Rondonia","Junio",13,2009-01-01
2010,"Rondonia","Junio",44,2010-01-01
2011,"Rondonia","Junio",130,2011-01-01
2012,"Rondonia","Junio",32,2012-01-01
2013,"Rondonia","Junio",22,2013-01-01
2014,"Rondonia","Junio",92,2014-01-01
2015,"Rondonia","Junio",119,2015-01-01
2016,"Rondonia","Junio",170,2016-01-01
2017,"Rondonia","Junio",192,2017-01-01
1998,"Rondonia","Julio",365,1998-01-01
1999,"Rondonia","Julio",135,1999-01-01
2000,"Rondonia","Julio",117,2000-01-01
2001,"Rondonia","Julio",74,2001-01-01
2002,"Rondonia","Julio",539,2002-01-01
2003,"Rondonia","Julio",516,2003-01-01
2004,"Rondonia","Julio",1.233,2004-01-01
2005,"Rondonia","Julio",798,2005-01-01
2006,"Rondonia","Julio",314,2006-01-01
2007,"Rondonia","Julio",187,2007-01-01
2008,"Rondonia","Julio",138,2008-01-01
2009,"Rondonia","Julio",110,2009-01-01
2010,"Rondonia","Julio",747,2010-01-01
2011,"Rondonia","Julio",293,2011-01-01
2012,"Rondonia","Julio",205,2012-01-01
2013,"Rondonia","Julio",117,2013-01-01
2014,"Rondonia","Julio",192,2014-01-01
2015,"Rondonia","Julio",423,2015-01-01
2016,"Rondonia","Julio",969,2016-01-01
2017,"Rondonia","Julio",1.28,2017-01-01
1998,"Rondonia","Agosto",2.254,1998-01-01
1999,"Rondonia","Agosto",1.976,1999-01-01
2000,"Rondonia","Agosto",2.197,2000-01-01
2001,"Rondonia","Agosto",2.132,2001-01-01
2002,"Rondonia","Agosto",3.465,2002-01-01
2003,"Rondonia","Agosto",7.06,2003-01-01
2004,"Rondonia","Agosto",6.893,2004-01-01
2005,"Rondonia","Agosto",6.672,2005-01-01
2006,"Rondonia","Agosto",3.124,2006-01-01
2007,"Rondonia","Agosto",4.786,2007-01-01
2008,"Rondonia","Agosto",1.251,2008-01-01
2009,"Rondonia","Agosto",484,2009-01-01
2010,"Rondonia","Agosto",4.388,2010-01-01
2011,"Rondonia","Agosto",1.161,2011-01-01
2012,"Rondonia","Agosto",2.209,2012-01-01
2013,"Rondonia","Agosto",885,2013-01-01
2014,"Rondonia","Agosto",3.038,2014-01-01
2015,"Rondonia","Agosto",3.762,2015-01-01
2016,"Rondonia","Agosto",3.675,2016-01-01
2017,"Rondonia","Agosto",4.287,2017-01-01
1998,"Rondonia","Septiembre",3.753,1998-01-01
1999,"Rondonia","Septiembre",3.062,1999-01-01
2000,"Rondonia","Septiembre",2.438,2000-01-01
2001,"Rondonia","Septiembre",1.927,2001-01-01
2002,"Rondonia","Septiembre",7.067,2002-01-01
2003,"Rondonia","Septiembre",6.89,2003-01-01
2004,"Rondonia","Septiembre",13.05,2004-01-01
2005,"Rondonia","Septiembre",13.972,2005-01-01
2006,"Rondonia","Septiembre",9.92,2006-01-01
2007,"Rondonia","Septiembre",6.832,2007-01-01
2008,"Rondonia","Septiembre",3.726,2008-01-01
2009,"Rondonia","Septiembre",1.869,2009-01-01
2010,"Rondonia","Septiembre",4.893,2010-01-01
2011,"Rondonia","Septiembre",1.782,2011-01-01
2012,"Rondonia","Septiembre",2.471,2012-01-01
2013,"Rondonia","Septiembre",1.776,2013-01-01
2014,"Rondonia","Septiembre",2.8,2014-01-01
2015,"Rondonia","Septiembre",6.129,2015-01-01
2016,"Rondonia","Septiembre",4.208,2016-01-01
2017,"Rondonia","Septiembre",5.638,2017-01-01
1998,"Rondonia","Octubre",483,1998-01-01
1999,"Rondonia","Octubre",1.884,1999-01-01
2000,"Rondonia","Octubre",644,2000-01-01
2001,"Rondonia","Octubre",796,2001-01-01
2002,"Rondonia","Octubre",3.554,2002-01-01
2003,"Rondonia","Octubre",4.962,2003-01-01
2004,"Rondonia","Octubre",3.094,2004-01-01
2005,"Rondonia","Octubre",2.559,2005-01-01
2006,"Rondonia","Octubre",1.148,2006-01-01
2007,"Rondonia","Octubre",2.023,2007-01-01
2008,"Rondonia","Octubre",1.482,2008-01-01
2009,"Rondonia","Octubre",1.444,2009-01-01
2010,"Rondonia","Octubre",1.307,2010-01-01
2011,"Rondonia","Octubre",822,2011-01-01
2012,"Rondonia","Octubre",1.229,2012-01-01
2013,"Rondonia","Octubre",555,2013-01-01
2014,"Rondonia","Octubre",1.063,2014-01-01
2015,"Rondonia","Octubre",2.598,2015-01-01
2016,"Rondonia","Octubre",1.844,2016-01-01
2017,"Rondonia","Octubre",2.19,2017-01-01
1998,"Rondonia","Noviembre",3,1998-01-01
1999,"Rondonia","Noviembre",41,1999-01-01
2000,"Rondonia","Noviembre",13,2000-01-01
2001,"Rondonia","Noviembre",91,2001-01-01
2002,"Rondonia","Noviembre",639,2002-01-01
2003,"Rondonia","Noviembre",526,2003-01-01
2004,"Rondonia","Noviembre",452,2004-01-01
2005,"Rondonia","Noviembre",465,2005-01-01
2006,"Rondonia","Noviembre",253,2006-01-01
2007,"Rondonia","Noviembre",53,2007-01-01
2008,"Rondonia","Noviembre",78,2008-01-01
2009,"Rondonia","Noviembre",128,2009-01-01
2010,"Rondonia","Noviembre",238,2010-01-01
2011,"Rondonia","Noviembre",245,2011-01-01
2012,"Rondonia","Noviembre",174,2012-01-01
2013,"Rondonia","Noviembre",108,2013-01-01
2014,"Rondonia","Noviembre",202,2014-01-01
2015,"Rondonia","Noviembre",1.002,2015-01-01
2016,"Rondonia","Noviembre",401,2016-01-01
2017,"Rondonia","Noviembre",372,2017-01-01
1998,"Rondonia","Diciembre",33,1998-01-01
1999,"Rondonia","Diciembre",0,1999-01-01
2000,"Rondonia","Diciembre",7,2000-01-01
2001,"Rondonia","Diciembre",1,2001-01-01
2002,"Rondonia","Diciembre",91,2002-01-01
2003,"Rondonia","Diciembre",214,2003-01-01
2004,"Rondonia","Diciembre",208,2004-01-01
2005,"Rondonia","Diciembre",36,2005-01-01
2006,"Rondonia","Diciembre",4,2006-01-01
2007,"Rondonia","Diciembre",6,2007-01-01
2008,"Rondonia","Diciembre",2,2008-01-01
2009,"Rondonia","Diciembre",9,2009-01-01
2010,"Rondonia","Diciembre",158,2010-01-01
2011,"Rondonia","Diciembre",37,2011-01-01
2012,"Rondonia","Diciembre",50,2012-01-01
2013,"Rondonia","Diciembre",143,2013-01-01
2014,"Rondonia","Diciembre",144,2014-01-01
2015,"Rondonia","Diciembre",282,2015-01-01
2016,"Rondonia","Diciembre",148,2016-01-01
1998,"Roraima","Enero",0,1998-01-01
1999,"Roraima","Enero",15,1999-01-01
2000,"Roraima","Enero",18,2000-01-01
2001,"Roraima","Enero",101,2001-01-01
2002,"Roraima","Enero",302,2002-01-01
2003,"Roraima","Enero",547,2003-01-01
2004,"Roraima","Enero",355,2004-01-01
2005,"Roraima","Enero",106,2005-01-01
2006,"Roraima","Enero",70,2006-01-01
2007,"Roraima","Enero",194,2007-01-01
2008,"Roraima","Enero",245,2008-01-01
2009,"Roraima","Enero",45,2009-01-01
2010,"Roraima","Enero",351,2010-01-01
2011,"Roraima","Enero",225,2011-01-01
2012,"Roraima","Enero",217,2012-01-01
2013,"Roraima","Enero",397,2013-01-01
2014,"Roraima","Enero",355,2014-01-01
2015,"Roraima","Enero",330,2015-01-01
2016,"Roraima","Enero",1.754,2016-01-01
2017,"Roraima","Enero",108,2017-01-01
1998,"Roraima","Febrero",0,1998-01-01
1999,"Roraima","Febrero",20,1999-01-01
2000,"Roraima","Febrero",57,2000-01-01
2001,"Roraima","Febrero",646,2001-01-01
2002,"Roraima","Febrero",476,2002-01-01
2003,"Roraima","Febrero",767,2003-01-01
2004,"Roraima","Febrero",259,2004-01-01
2005,"Roraima","Febrero",105,2005-01-01
2006,"Roraima","Febrero",283,2006-01-01
2007,"Roraima","Febrero",796,2007-01-01
2008,"Roraima","Febrero",138,2008-01-01
2009,"Roraima","Febrero",153,2009-01-01
2010,"Roraima","Febrero",470,2010-01-01
2011,"Roraima","Febrero",112,2011-01-01
2012,"Roraima","Febrero",130,2012-01-01
2013,"Roraima","Febrero",62,2013-01-01
2014,"Roraima","Febrero",226,2014-01-01
2015,"Roraima","Febrero",418,2015-01-01
2016,"Roraima","Febrero",171,2016-01-01
2017,"Roraima","Febrero",129,2017-01-01
1998,"Roraima","Marzo",0,1998-01-01
1999,"Roraima","Marzo",98,1999-01-01
2000,"Roraima","Marzo",125,2000-01-01
2001,"Roraima","Marzo",1.108,2001-01-01
2002,"Roraima","Marzo",820,2002-01-01
2003,"Roraima","Marzo",1.131,2003-01-01
2004,"Roraima","Marzo",276,2004-01-01
2005,"Roraima","Marzo",244,2005-01-01
2006,"Roraima","Marzo",385,2006-01-01
2007,"Roraima","Marzo",665,2007-01-01
2008,"Roraima","Marzo",422,2008-01-01
2009,"Roraima","Marzo",176,2009-01-01
2010,"Roraima","Marzo",417,2010-01-01
2011,"Roraima","Marzo",91,2011-01-01
2012,"Roraima","Marzo",99,2012-01-01
2013,"Roraima","Marzo",179,2013-01-01
2014,"Roraima","Marzo",494,2014-01-01
2015,"Roraima","Marzo",163,2015-01-01
2016,"Roraima","Marzo",1.081,2016-01-01
2017,"Roraima","Marzo",216,2017-01-01
1998,"Roraima","Abril",0,1998-01-01
1999,"Roraima","Abril",16,1999-01-01
2000,"Roraima","Abril",0,2000-01-01
2001,"Roraima","Abril",380,2001-01-01
2002,"Roraima","Abril",41,2002-01-01
2003,"Roraima","Abril",268,2003-01-01
2004,"Roraima","Abril",182,2004-01-01
2005,"Roraima","Abril",22,2005-01-01
2006,"Roraima","Abril",201,2006-01-01
2007,"Roraima","Abril",58,2007-01-01
2008,"Roraima","Abril",175,2008-01-01
2009,"Roraima","Abril",115,2009-01-01
2010,"Roraima","Abril",15,2010-01-01
2011,"Roraima","Abril",108,2011-01-01
2012,"Roraima","Abril",25,2012-01-01
2013,"Roraima","Abril",87,2013-01-01
2014,"Roraima","Abril",162,2014-01-01
2015,"Roraima","Abril",278,2015-01-01
2016,"Roraima","Abril",126,2016-01-01
2017,"Roraima","Abril",51,2017-01-01
1998,"Roraima","Mayo",0,1998-01-01
1999,"Roraima","Mayo",0,1999-01-01
2000,"Roraima","Mayo",7,2000-01-01
2001,"Roraima","Mayo",9,2001-01-01
2002,"Roraima","Mayo",0,2002-01-01
2003,"Roraima","Mayo",0,2003-01-01
2004,"Roraima","Mayo",2,2004-01-01
2005,"Roraima","Mayo",1,2005-01-01
2006,"Roraima","Mayo",0,2006-01-01
2007,"Roraima","Mayo",0,2007-01-01
2008,"Roraima","Mayo",8,2008-01-01
2009,"Roraima","Mayo",219,2009-01-01
2010,"Roraima","Mayo",3,2010-01-01
2011,"Roraima","Mayo",4,2011-01-01
2012,"Roraima","Mayo",18,2012-01-01
2013,"Roraima","Mayo",4,2013-01-01
2014,"Roraima","Mayo",58,2014-01-01
2015,"Roraima","Mayo",12,2015-01-01
2016,"Roraima","Mayo",22,2016-01-01
2017,"Roraima","Mayo",29,2017-01-01
1998,"Roraima","Junio",0,1998-01-01
1999,"Roraima","Junio",3,1999-01-01
2000,"Roraima","Junio",0,2000-01-01
2001,"Roraima","Junio",1,2001-01-01
2002,"Roraima","Junio",0,2002-01-01
2003,"Roraima","Junio",0,2003-01-01
2004,"Roraima","Junio",6,2004-01-01
2005,"Roraima","Junio",5,2005-01-01
2006,"Roraima","Junio",0,2006-01-01
2007,"Roraima","Junio",1,2007-01-01
2008,"Roraima","Junio",0,2008-01-01
2009,"Roraima","Junio",16,2009-01-01
2010,"Roraima","Junio",0,2010-01-01
2011,"Roraima","Junio",6,2011-01-01
2012,"Roraima","Junio",22,2012-01-01
2013,"Roraima","Junio",6,2013-01-01
2014,"Roraima","Junio",4,2014-01-01
2015,"Roraima","Junio",3,2015-01-01
2016,"Roraima","Junio",7,2016-01-01
2017,"Roraima","Junio",4,2017-01-01
1998,"Roraima","Julio",1,1998-01-01
1999,"Roraima","Julio",4,1999-01-01
2000,"Roraima","Julio",0,2000-01-01
2001,"Roraima","Julio",1,2001-01-01
2002,"Roraima","Julio",7,2002-01-01
2003,"Roraima","Julio",0,2003-01-01
2004,"Roraima","Julio",2,2004-01-01
2005,"Roraima","Julio",2,2005-01-01
2006,"Roraima","Julio",0,2006-01-01
2007,"Roraima","Julio",3,2007-01-01
2008,"Roraima","Julio",0,2008-01-01
2009,"Roraima","Julio",18,2009-01-01
2010,"Roraima","Julio",1,2010-01-01
2011,"Roraima","Julio",9,2011-01-01
2012,"Roraima","Julio",2,2012-01-01
2013,"Roraima","Julio",4,2013-01-01
2014,"Roraima","Julio",9,2014-01-01
